Aluminum.Band,Sex,Age,Year,DateSearchCriteria,ExportType,CaptureHistoryExport,y.1980,y.1981,y.1982,y.1983,y.1984,y.1985,y.1986,y.1987,y.1988,y.1989,y.1990,y.1991,y.1992,y.1993,y.1994,y.1995,y.1996,y.1997,y.1998,y.1999,y.2000,y.2001,y.2002,y.2003,y.2004,y.2005,y.2006,y.2007,y.2008,y.2009,y.2010,y.2011,y.2012,y.2013,y.2014,y.2015,y.2016,y.2017,y.2018,y.2019,y.2020,y.2021
1520-30589,F,SY,1986,"1980 - 2021",Yearly,000000100000000000000000000000000000000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520-30590,F,SY,1986,"1980 - 2021",Yearly,000000100000000000000000000000000000000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520-30591,F,SY,1986,"1980 - 2021",Yearly,000000100000000000000000000000000000000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520-30593,F,SY,1986,"1980 - 2021",Yearly,000000100000000000000000000000000000000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520-30594,M,ASY,1986,"1980 - 2021",Yearly,000000100000000000000000000000000000000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520-30796,M,?,1986,"1980 - 2021",Yearly,000000111100000000000000000000000000000000,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520-30797,M,ASY,1986,"1980 - 2021",Yearly,000000100000000000000000000000000000000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520-30872,M,ASY,1986,"1980 - 2021",Yearly,000000111000000000000000000000000000000000,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520-30873,F,SY,1986,"1980 - 2021",Yearly,000000110000000000000000000000000000000000,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520-30874,F,SY,1986,"1980 - 2021",Yearly,000000111000000000000000000000000000000000,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520-30875,F,SY,1986,"1980 - 2021",Yearly,000000100000000000000000000000000000000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520-30877,F,SY,1986,"1980 - 2021",Yearly,000000100000000000000000000000000000000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760-54933,F,AHY,1986,"1980 - 2021",Yearly,000000110000000000000000000000000000000000,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760-54937,M,SY,1986,"1980 - 2021",Yearly,000000100000000000000000000000000000000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760-54942,F,AHY,1986,"1980 - 2021",Yearly,000000100000000000000000000000000000000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760-54943,M,ASY,1986,"1980 - 2021",Yearly,000000100000000000000000000000000000000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760-54947,F,AHY,1986,"1980 - 2021",Yearly,000000100000000000000000000000000000000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760-54959,F,AHY,1986,"1980 - 2021",Yearly,000000110000000000000000000000000000000000,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520-30741,M,SY,1987,"1980 - 2021",Yearly,000000110000000000000000000000000000000000,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520-30876,M,SY,1987,"1980 - 2021",Yearly,000000110000000000000000000000000000000000,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520-30899,F,SY,1987,"1980 - 2021",Yearly,000000011000000000000000000000000000000000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520-30900,M,ASY,1987,"1980 - 2021",Yearly,000000011100000000000000000000000000000000,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700-95535,M,ASY,1987,"1980 - 2021",Yearly,000000010000000000000000000000000000000000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760-55001,F,AHY,1987,"1980 - 2021",Yearly,000000011000000000000000000000000000000000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760-55009,F,AHY,1987,"1980 - 2021",Yearly,000000011000000000000000000000000000000000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760-55015,F,AHY,1987,"1980 - 2021",Yearly,000000011100000000000000000000000000000000,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760-55020,M,SY,1987,"1980 - 2021",Yearly,000000010000000000000000000000000000000000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760-55031,F,AHY,1987,"1980 - 2021",Yearly,000000010000000000000000000000000000000000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
